"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","260571","0.0-5.0-0.6","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"","","","reveal","animate-transparency","24","264585","0.0-5.0-1.6","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","[]",""
"null","img/tt/0347tt.jpg","null","mooney","image-keyboard-response","25","265101","0.0-5.0-2.6","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","265310","0.0-5.0-0.7","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"","","","reveal","animate-transparency","27","269324","0.0-5.0-1.7","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","[]",""
"null","img/tt/0479tt.jpg","null","mooney","image-keyboard-response","28","269840","0.0-5.0-2.7","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","270061","0.0-5.0-0.8","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"","","","reveal","animate-transparency","30","274081","0.0-5.0-1.8","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","[]",""
"null","img/tt/0427tt.jpg","null","mooney","image-keyboard-response","31","274596","0.0-5.0-2.8","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","274816","0.0-5.0-0.9","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"","","","reveal","animate-transparency","33","278833","0.0-5.0-1.9","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","[]",""
"null","img/tt/0810tt.jpg","null","mooney","image-keyboard-response","34","279346","0.0-5.0-2.9","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","279566","0.0-5.0-0.10","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"","","","reveal","animate-transparency","36","283569","0.0-5.0-1.10","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","[]",""
"null","img/tt/0318tt.jpg","null","mooney","image-keyboard-response","37","284086","0.0-5.0-2.10","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","284306","0.0-5.0-0.11","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
"","","","reveal","animate-transparency","39","288319","0.0-5.0-1.11","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","[]",""
"null","img/tt/0780tt.jpg","null","mooney","image-keyboard-response","40","288836","0.0-5.0-2.11","545cdc18fdf99b75c29048ab","180","mooneymood","524577","","",""
