tt	gs	sol	part
img/tt/862tt.jpg	img/gs/862gs.jpg	ritssluiting, vest, tas	lipje,
img/tt/863tt.jpg	img/gs/863gs.jpg	stoel,zitvlak	
img/tt/864tt.jpg	img/gs/864gs.jpg	parasol,paraplu	
img/tt/865tt.jpg	img/gs/865gs.jpg	kroonkurk, kroonkurken, taartvorm	
img/tt/866tt.jpg	img/gs/866gs.jpg	vliegtuig, motor, vleugel	
img/tt/867tt.jpg	img/gs/867gs.jpg	sandwich, boterham, broodje	sneetje,
img/tt/868tt.jpg	img/gs/868gs.jpg	trostomaten, tomaten, tros	kroontje,
img/tt/869tt.jpg	img/gs/869gs.jpg	tanken, benzinetank, tanken, tank, tankstation, auto	hendel/handvat,
img/tt/870tt.jpg	img/gs/870gs.jpg	douche, douchekraan, kraan, water, bad	douchekop,
img/tt/871tt.jpg	img/gs/871gs.jpg	boer, man, tuin, moestuin, boer, oogst,akker,veld,oogst	hand,
img/tt/872tt.jpg	img/gs/872gs.jpg	vlinder, butterfly	vleugel,
img/tt/873tt.jpg	img/gs/873gs.jpg	olifant, olifantenkop	hoektand,
img/tt/874tt.jpg	img/gs/874gs.jpg	gasvuur, gaskookplaat, fornuis, kookvuur, kookplaat	rooster,
img/tt/875tt.jpg	img/gs/875gs.jpg	bakpan, pan, vuur, fornuis	steel,
			
			
			
		cockroach	
		conch	
		cormorant, aalscholver	
		elk	
		ewer	
		gas pump	
		giraffe	
		hawksbill, tortoise, turtle, sea turtle	
		iguana, iguanadon, leguaan	
		killer whale, orca	
		praying mantis	
